 ,Common name,Common name 2,Common name 3,Phylum,Class,Order,Family,Genus,domestic/managed/wild,domestic/managed/wild 2,Ruminant/non-ruminant,Type (grazer/browser/mixed feeder),Type notes,Avg species weight (kg),Notes on Weight,Avg species shoulder height (cm),Notes on Shoulder Height,Even or odd toed?,Citation,Native habitat,Biome 1,Biome 2,Biome 3,Biome 4,Biome 5,Continent 1,Continent 2,Continent 3,Country 1,Country 2,Country 3,Country 4,Country 5+,Range Notes,Temperature Regime (ArcGIS),Temperate Regime 2,Temperate Regime 3,Temperate Regime 4,Temperate Regime 5,IUCN Status,IUCN reason,URL,Notes
Ovis dalli,Dall's sheep,,,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Wild,,Ruminant,Grazer,,79.5,46-113,100.5,92-109,Even-toed,Animal Diversity (website),"Mountains, alpine grasslands & scrubland",boreal forest,grassland,savanna,,,North America,,,Canada,United States,,,,Western North America,cool temperate,,,,,Least Concern,,https://animaldiversity.org/accounts/Ovis_dalli/,
Ovis nivicola,Snow sheep,Siberian bighorn,,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Wild,,Ruminant,Grazer,,90,60-120,105,95-115,Even-toed,Ungulates of the World (website),Alpine grasslands,boreal forest,grassland,,,,Europe,Asia,,Russia,,,,,"Northeastern Russia, Asia",boreal,polar,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Ovis_nivicola.html,
Ovis aries,Domestic sheep,,,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Domestic,,Ruminant,Grazer,,110,20-200,96,65-127,Even-toed,Animal Diversity (website),Pan-habitual,,,,,,GLOBAL,,,GLOBAL,,,,,Global; origin in Middle East & Central Asia,,,,,,Data Deficient,,https://animaldiversity.org/accounts/Ovis_aries/,"Debate on taxonomy of O. aries and other species, including O.       
orientalis and O. a. vignei- undetermined whether some or all are subspecies of another, or if they are all distinct. In addition, there are some theories describing O. orientalis as the ancestor species to domestic sheep"
Pantholops hodgsonii,Tibetan antelope,Chiru,,Chordata,Mammalia,Artiodactyla,Bovidae,Pantholops,Wild,,Ruminant,Grazer,,30,25-35,90,80-100,Even-toed,Ungulates of the World (website),Alpine grasslands,boreal forest,grassland,,,,Asia,,,China,India,,,,"Tibetan steppe, Central Asia",sub tropical,warm temperate dry,boreal,polar,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Pantholops_hodgsonii.html,
Pseudois nayaur,Bharal,Himalayan blue sheep,,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois,Wild,,Ruminant,Grazer,,55,35-75,82.5,75-90,Even-toed,Ungulates of the World (website),Mountains & alpine grasslands,boreal forest,grassland,,,,Asia,,,China,India,Nepal,,,"Himalayan Mountains & China, Asia",sub tropical,warm temperate dry,boreal,polar,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Pseudois_nayaur.html,
Pseudois schaeferi,Dwarf blue sheep,,,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois,Wild,,Ruminant,Grazer,,28.5,17-40,65,50-80,Even-toed,Ungulates of the World (website),Alpine grasslands,boreal forest,grassland,,,,Asia,,,China,,,,,Central China,warm temperate dry,cool temperate,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Pseudois_schaeferi.html,
Rupicapra pyrenaica,Pyrenean chamois,Isard,,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,Wild,,Ruminant,Grazer,,37,24-50,78.5,76-81,Even-toed,Animal Diversity (website),Alpine grasslands,boreal forest,grassland,,,,Europe,,,France,Spain,,,,Southern Europe,warm temperate dry,cool temperate,,,,Least Concern,,https://animaldiversity.org/accounts/Rupicapra_pyrenaica/,
Rupicapra rupicapra,Alpine chamois,,,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,Wild,,Ruminant,Grazer,,40,30-50,75,70-80,Even-toed,Animal Diversity (website),Mountains,boreal forest,,,,,Europe,,,France,Switzerland,Italy,Germany,"Slovakia, Hungary, Slovenia, Croatia, Bosnia & Herzegovina, Serbia, Montenegro, Albania, Greece, Bulgaria, Romania, Turkey, Azerbaijian, Russia",Southern Europe & Middle East,warm temperate dry,cool temperate,boreal,,,Least Concern,,https://animaldiversity.org/accounts/Rupicapra_rupicapra/,
Cephalophus adersi,Ader's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,1-9,7-12,40,40,Even-toed,Ungulates of the World (website),Dense tropical forest,tropical rainforest,,,,,Africa,,,Kenya,Tanzania,,,,"Boni-Dodori & Arabuko-Sukoke in Kenya, Zanzibar in ZTanzania",tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_adersi.html,
Cephalophus callipygus,Peters's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,20.1,20.1,52.5,45-60,Even-toed,Ungulates of the World (website),Lowland rainforests,tropical rainforest,,,,,Africa,,,Cameroon,Equatorial Guinea,Central African Republic,Gabon,Congo Republic,Western Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_callipygus.html,
Cephalophus dorsalis,Bay duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,21,18-24,48.5,45-52,Even-toed,Ungulates of the World (website),Moist primary tropical forest,tropical rainforest,,,,,Africa,,,Sierra Leone,Liberia,Côte D'Ivoire,Ghana,"Togo, Benin, Nigeria, Cameroon, Central African Republic, Equatorial Guinea, Gabon, Congo Republic, Democratic Republic of the Congo, Angola, Uganda",Western & Central Africa,tropical,sub tropical,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_dorsalis.html,
Cephalophus harveyi,Harvey's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,11.5,9-14,41,41,Even-toed,Ungulates of the World (website),Lowland & alpine tropical forest,tropical rainforest,boreal forest,,,,Africa,,,Tanzania,Malawi,Kenya,,,Eastern Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_harveyi.html,Some debate on whether C. harveyi is a true species or a subspecies of c. natalensis
Cephalophus jentinki,Jentink's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,68.5,57-80,80,80,Even-toed,Ungulates of the World (website),Secondary & closed-canopy rainforests,tropical rainforest,,,,,Africa,,,Sierra Leone,Liberia,Côte D'Ivoire,,,"Liberia, Africa",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_jentinki.html,
Cephalophus leucogaster,White-bellied duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,16,12-20,46.5,42-51,Even-toed,Ungulates of the World (website),Closed-canopy rainforests,tropical rainforest,,,,,Africa,,,Equatorial Guinea,Cameroon,Gabon,Congo Republic,"Central African Republic, Democratic Republic of the Congo",Western & Central Africa,tropical,,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_leucogaster.html,
Cephalophus natalensis,Red duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,11.5,9-14,43,38-48,Even-toed,Ungulates of the World (website),Coastal & riparian forests,temperate forest,freshwater,,,,Africa,,,Tanzania,Mozambique,Malawi,South Africa,Swaziland,Southeastern Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_natalensis.html,
Cephalophus niger,Black duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,21.5,17-26,47.5,45-50,Even-toed,Ungulates of the World (website),Secondary tropical forests,tropical rainforest,,,,,Africa,,,Guinea,Sierra Leone,Liberia,Côte D'Ivoire,"Ghana, Togo, Benin, Nigeria",Western Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_niger.html,
Cephalophus nigrifrons,Black-fronted duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,14.5,13-16,55,55,Even-toed,Ungulates of the World (website),Primary tropical forests,tropical rainforest,,,,,Africa,,,Nigeria,Cameroon,Central African Republic,Democratic Republic of the Congo,"Equatorial Guinea, Gabon, Congo Republic, Uganda, Kenya, Rwanda, Burundi, Angola","Congo Basin, West Africa",tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_nigrifrons.html,
Cephalophus ogilbyi,Ogilby's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,14,12-16,55,55,Even-toed,Ungulates of the World (website),Primary closed-canopy rainforests,tropical rainforest,,,,,Africa,,,Sierra Leone,Guinea,LIberia,Côte D'Ivoire,"Ghana, Nigeria, Cameroon, Gabon, Congo Republic",Western Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_ogilbyi.html,
Cephalophus rufilatus,Red-flanked duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,11.5,9-14,35,30-40,Even-toed,Ungulates of the World (website),Savanna & riparian forests,savanna,freshwater,temperate forest,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Sierra Leone, Côte D'Ivoire, Ghana, Togo, Benin, Burkina, Niger, Nigeria, Cameroon, Chad, Central African Republic, South Sudan, Democratic Republic of the Congo, Uganda",Western & Central Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_rufilatus.html,
Cephalophus silvicultor,Yellow-backed duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,62.5,45-80,75,70-80,Even-toed,Ungulates of the World (website),"Secondary tropical forests, primary tropical forests, savanna, & swamp",tropical rainforest,savanna,freshwater,,,Africa,,,Senegal,Guinea Bissau,Guinea,Sierra Leone,"Liberia, Côte D'Ivoire, Burkina, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Central African Republic, Equatorial Guinea, Gabon, Congo Republic, Democratic Republic of the Congo, South Sudan, Rwanda, Burundi, Kenya, Zambia, Angola",Western & Central Africa,tropical,sub tropical,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_silvicultor.html,
Cephalophus spadix,Abbott's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,55,50-60,70,65-75,Even-toed,Ungulates of the World (website),Alpine forests,boreal forest,,,,,Africa,,,Tanzania,,,,,Eastern Africa,tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_spadix.html,
Cephalophus weynsi,Weyn's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,18,16-20,55,55,Even-toed,Ungulates of the World (website),Lowland & alpine rainforests,boreal forest,,,,,Africa,,,Central African Republic,Democratic Republic of the Congo,Rwanda,Burundi,"Uganda, Tanzania, South Sudan, Kenya",Central Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_weynsi.html,
Cephalophus zebra,Zebra duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,Wild,,Ruminant,Browser,,19,15-23,45,40-50,Even-toed,Ungulates of the World (website),Closed-canopy rainforests,tropical rainforest,,,,,Africa,,,Sierra Leone,Liberia,Guinea,Côte D'Ivoire,,Western Africa,tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Cephalophus_zebra.html,
Philantomba maxwelli,Maxwell's duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,Wild,,Ruminant,Browser,,7.5,5-10,38.5,35-42,Even-toed,Ungulates of the World (website),Secondary tropical forests & moist savanna,tropical rainforest,savanna,,,,Africa,,,Gambia,Senegal,Guinea Bissau,Guinea,"Sierra Leone, Liberia, Côte D'Ivoire, Ghana, Togo, Benin, Nigeria, Burkina",Western Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Philantomba_maxwellii.html,Debate on whether P. maxwelli is a subspecies of P. monticola
Philantomba monticola,Blue duiker,,,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,Wild,,Ruminant,Browser,,4.5,3-6,35,30-40,Even-toed,Ungulates of the World (website),Tropical & alpine rainforests,tropical rainforest,boreal forest,,,,Africa,,,Nigeria,Cameroon,Central African Republic,South Sudan,"Equatorial Guinea, Gabon, Congo Republic, Democratic Republic of the Congo, Rwanda, Burundi, Kenya, Tanzania, Uganda, Angola, Zambia, Malawi, Zimbabwe, Mozambique, South Africa",Central & Southern Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Philantomba_monticola.html,
Sylvicapra grimmia,Gray duiker,Common duiker,,Chordata,Mammalia,Artiodactyla,Bovidae,Sylvicapra,Wild,,Ruminant,Browser,,15,10-20,52.5,45-60,Even-toed,Ungulates of the World (website),"Scrubland, savanna, & alpine grasslands",savanna,boreal forest,grassland,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Mali, Côte D'Ivoire, Ghana, Togo, Benin, Burkina, Nigeria, Niger, Cameroon, Chad, Sudan, South Sudan, Central African Republic, Congo Republic, Democratic Republic of the Congo, Ethiopia, Eritrea, Uganda, Kenya, Somalia, Rwanda, Burundi, Tanzania, Angola, Namibia, Zambia, Malawi, Mozambique, Botswana, Zimbabwe, Swaziland, Lesotho, South Africa",Sub-saharan Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Sylvicapra_grimmia.html,
Addax nasomaculatus,Addax,,,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Wild,,Ruminant,Mixed feeder,,92.5,60-125,105,95-115,Even-toed,Ungulates of the World (website),"Deserts, semideserts, & grasslands",desert,grassland,,,,Africa,,,Mauritania,Mali,Niger,Chad,Sudan,"Sahara Desert, Africa",tropical,sub tropical,,,,Critically Endangered,,http://www.ultimateungulate.com/Artiodactyla/Addax_nasomaculatus.html,
Hippotragus equinus,Roan antelope,,,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,Wild,,Ruminant,Grazer,,262.5,225-300,150,140-160,Even-toed,Ungulates of the World (website),Savanna,savanna,,,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Mali, Sierra Leone, Côte D'Ivoire, Ghana, Togo, Benin, Burkina, Nigeria, Cameroon, Chad, Sudan, South Sudan, Central African Republic, Democratic Republic of the Congo, Ethiopia, Eritrea, Uganda, Kenya, Rwanda, Burundi, Tanzania, Angola, Namibia, Zambia, Malawi, Mozambique, Botswana, Zimbabwe, South Africa",Central Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Hippotragus_equinus.html,
Hippotragus leucophaeus,Blue buck,Blaubok,,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,N/A,,Ruminant,Grazer,,Unknown,,109.5,100-119,Even-toed,Animal Diversity (website),Savanna,savanna,,,,,Africa,,,EXTINCT,,,,,,,,,,,Extinct,,https://animaldiversity.org/accounts/Hippotragus_leucophaeus/,Extinct
Hippotragus niger,Sable antelope,,,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,Wild,,Ruminant,Grazer,,230,190-270,130,117-143,Even-toed,Ungulates of the World (website),Savanna,savanna,,,,,Africa,,,Angola,Kenya,Tanzania,Democratic Republic of the Congo,"Namibia, Zambia, Malawi, Mozambique, Zimbabwe, Botswana, South Africa",Southern Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Hippotragus_niger.html,
Oryx beisa,Besia oryx,East African oryx,,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,Wild,,Ruminant,Mixed feeder,,175,150-200,115,110-120,Even-toed,Ungulates of the World (website),"Steppes, semi-deserts & savannas",grassland,desert,savanna,,,Africa,,,Sudan,Eritrea,Djibouti,Somalia,"Ethiopia, Uganda, Kenya, Tanzania",Eastern Africa,tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Oryx_beisa.html,Debate on whether  O. beisa should be considered a subspecies of O. gazella
Oryx dammah,Scimitar-horned oryx,,,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,Wild,,Ruminant,Mixed feeder,,190,180-200,117.5,110-125,Even-toed,Ungulates of the World (website),"Steppes, semi-deserts, and deserts ",grassland,desert,,,,Africa,,,Niger,Chad,,,,"Niger and Chad Sahara Desert, Africa",tropical,sub tropical,,,,Extinct in Wild,,http://www.ultimateungulate.com/Artiodactyla/Oryx_dammah.html,
Oryx gazella,Gemsbok,South African oryx,,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,WIld,,Ruminant,Mixed feeder,,210,180-240,120,115-125,Even-toed,Ungulates of the World (website),"Scrubland, semi-deserts & alpine grassland",grassland,desert,boreal forest,,,Africa,,,Namibia,Botswana,Zimbabwe,South Africa,,Southwestern Africa,sub tropical,warm temperate dry,,,,Least Concern,,https://animaldiversity.org/accounts/Oryx_gazella/,
Oryx leucoryx ,Arabian oryx,,,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,Wild,Managed,Ruminant,Mixed feeder,,67.5,65-70,91.5,81-102,Even-toed,Ungulates of the World (website),"Steppes, semi-deserts, and deserts",grassland,desert,,,,Africa,Asia,,Saudi Arabia,Jordan,Syria,,,"Arabian Peninsula, Middle East",tropical,sub tropical,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Oryx_leucoryx.html,
Kobus ellipsiprymnus,Waterbuck,,,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Wild,,Ruminant,Grazer,,175,150-200,115,100-130,Even-toed,Ungulates of the World (website),Scrubland & savanna,savanna,,,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Burkina, Mali, Côte D'Ivoire, Ghana, Togo, Benin, Nigeria, Cameroon, Chad, Central African Republic, South Sudan, Sudan, Eritrea, Ethiopia, Somalia, Kenya, Uganda, Gabon, Congo Republic, Democratic Republic of the Congo, Rwanda, Burundi, Tanzania, Malawi, Mozambique, Zambia, Angola, Namibia, Botswana, Zimbabwe, South Africa, Swaziland",Sub-saharan Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Kobus_ellipsiprymnus.html,
Kobus kob,Kob,,,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Wild,,Ruminant,Grazer,,85,50-120,87.5,70-105,Even-toed,Ungulates of the World (website),Floodplains,freshwater,,,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Sierra Leone, Mali, Burkina, Côte D'Ivoire, Ghana, Togo, Benin, Niger, Nigeria, Cameroon, Chad, South Sudan, Sudan, Central African Republic, Democratic Republic of the Congo, Uganda, Rwanda, Ethiopia",Central Africa,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Kobus_kob.html,
Kobus leche,Lechwe,,,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Wild,,Ruminant,Grazer,,95,60-130,97.5,85-110,Even-toed,Ungulates of the World (website),Floodplains & wetlands,freshwater,,,,,Africa,,,Angola,Namibia,Botswana,Zambia,,Southern Africa,sub tropical,,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Kobus_leche.html,
Kobus megaceros,Nile lechwe,Mrs. Gray's lechwe,,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Wild,,Ruminant,Grazer,,105,90-120,102.5,100-105,Even-toed,Ungulates of the World (website),Floodplains & wetlands,freshwater,,,,,Africa,,,South Sudan,Ethiopia,,,,"South Sudan, Africa",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Kobus_megaceros.html,
Kobus vardonii,Puku,,,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,Wild,,Ruminant,Grazer,,69,61-77,90,90,Even-toed,Ungulates of the World (website),Floodplains & wet grasslands,freshwater,grassland,,,,Africa,,,Angola,Democratic Republic of the Congo,Zambia,Tanzania,,Southern Africa,tropical,sub tropical,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Kobus_vardonii.html,
Pelea capreolus,Rhebok,,,Chordata,Mammalia,Artiodactyla,Bovidae,Pelea,Wild,,Ruminant,Browser,,24,18-30,75,70-80,Even-toed,Ungulates of the World (website),Alpine grasslands,boreal forest,grassland,,,,Africa,,,South Africa,Lesotho,,,,"South Africa & Lesotho, Africa",sub tropical,warm temperate dry,,,,Near Threatened,,http://www.ultimateungulate.com/Artiodactyla/Pelea_capreolus.html,
Redunca arundinum,Southern reedbuck,,,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca,Wild,,Ruminant,Grazer,,77.5,60-95,92.5,80-105,Even-toed,Ungulates of the World (website),Savannas & open woodlands,savanna,,,,,Africa,,,Gabon,Congo Republic,Democratic Republic of the Congo,Tanzania,"Angola, Zambia, Zimbabwe, Mozambique, Botswana, South Africa, Swaziland",Southern Africa,tropical,sub tropical,warm temperate dry,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Redunca_arundinum.html,
Redunca fulvorufula,Mountain reedbuck,,,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca,Wild,,Ruminant,Grazer,,54,43-65,77,65-89,Even-toed,Ungulates of the World (website),Alpine grasslands,boreal forest,grassland,,,,Africa,,,Nigeria,Cameroon,Ethiopia,South Sudan,"Kenya, Tanzania, South Africa, Botswana, Swaziland, Lesotho",,tropical,sub tropical,warm temperate dry,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Redunca_fulvorufula.html,"Three distinct subspecies, one in each region"
Redunca redunca,Bohor reedbuck,,,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca,Wild,,Ruminant,Grazer,,54,43-65,77,65-89,Even-toed,Ungulates of the World (website),Floodplains & open woodlands,freshwater,savanna,,,,Africa,,,Senegal,Gambia,Guinea Bissau,Guinea,"Mali, Burkina, Côte D'Ivoire, Ghana, Togo, Benin, Nigeria, Niger, Cameroon, Chad, Central African Republic, South Sudan, Sudan, Democratic Republic of the Congo, Eritrea, Ethiopia, Kenya, Rwanda, Burundi, Kenya, Tanzania",Central Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Redunca_redunca.html,
Camelus bactrianus,Domestic Bactrian camel,,,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Domestic,,Non-ruminant,Mixed feeder,,800,600-1000,205,180-230,Even-toed,Ungulates of the World (website),Desert & steppes,desert,grassland,,,,Asia,,,China,Mongolia,,,,"Gobi desert, Asia",cool temperate,boreal,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Camelus_bactrianus.html,
Camelus ferus,Wild Bactrian camen,,,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Wild,,Non-ruminant,Mixed feeder,,800,600-1000,205,180-230,,Ungulates of the World (website),Desert & steppes,desert,grassland,,,,Asia,,,China,Mongolia,,,,NW China and SW Mongolia,cool temperate,boreal,,,,Data Deficient,,,
Camelus dromedarius,Dromedary,Arabian Camel,,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,Domestic,,Non-ruminant,Mixed feeder,,800,600-1000,195,180-210,Even-toed,Ungulates of the World (website),Deserts & semi-deserts,desert,,,,,Africa,,,Guinea Bissau,Gambia,Senegal,Mauritania,"Western Sahara, Morocco, Algeria, Tunisia, Mali, Burkina, Niger, Libya, Egypt, Sudan, Chad, Eritrea, Djibouti, Ethiopia, Kenya, Somalia, Israel, Lebanon, Jordan, Saudi Arabia, Yemen, Oman, Kuwait, Bahrain, Qatar, United Arab Emirates, Terkmenistan, Afghanistan,Pakistan, India, Tajikistan, Kyrgyzstan, Turkey, Syria, Iraq, Russia, Kazakhstan, Uzbekistan",Northern Africa & Middle East,tropical,sub tropical,warm temperate dry,cool temperate,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Camelus_dromedarius.html,"Wild dromedaries are extinct, but populations of feral domestic dromedaries exist"
Lama glama ,Llama,,,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,Domestic,,Non-ruminant,Mixed feeder,,142.5,130-155,175,170-180,Even-toed,Animal Diversity (website),Mountains & alpine grasslands,grassland,,,,,South America,,,Ecuador,Peru,Bolivia,Chile,Argentina,"Andes Mountains, South America",warm temperate dry,tropical,sub tropical,,,Data Deficient,,https://animaldiversity.org/accounts/Lama_glama/,"Some small populations of feral llama exist, but the species has been otherwise competley domesticated"
Lama guanicoe,Guanaco,,,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,Wild,Managed,Non-ruminant,Mixed feeder,,115,90-140,110,90-130,Even-toed,Animal Diversity (website),"Deserts, semi-deserts, alpine grasslands, scrubland, savanna, & wet temperate forests",desert,grassland,shrubland,savanna,temperate forest,South America,,,Peru,Bolivia,Chile,Argentina,,"Southern South America, incl. Peru, Argentina, & Chile",warm temperate dry,tropical,sub tropical,,,Least Concern,,https://animaldiversity.org/accounts/Lama_guanicoe/,
Vicugna pacos,Alpaca,,,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Domestic,,Non-ruminant,Grazer,,60,55-65,110,90-130,Even-toed,Animal Diversity (website),Alpine grasslands,grassland,,,,,South America,,,Peru,Bolivia,Ecuador,Chile,,"Andes Mountains, South America",warm temperate dry,tropical,sub tropical,,,Data Deficient,,https://animaldiversity.org/accounts/Lama_pacos/,
Vicugna vicugna,Vicuña,,,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Wild,Managed,Non-ruminant,Grazer,,50,35-65,90,70-110,Even-toed,Animal Diversity (website),Alpine grasslands,grassland,,,,,South America,,,Peru,Bolivia,Chile,Argentina,,"Andes Mountains, South America",warm temperate dry,,,,,Least Concern,,https://animaldiversity.org/accounts/Vicugna_vicugna/,
Babyrousa babyrussa,Moluccan babirusa,,,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,Wild,,Non-ruminant,Browser,,71.5,43-100,72.5,65-80,Even-toed,Animal Diversity (website),Moist tropical forests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Sula & Buru Islands, Indonesia",tropical,,,,,Vulnerable,,https://animaldiversity.org/accounts/Babyrousa_babyrussa/,
Babyrousa celebensis,Sulawesi babirusa,,,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,Wild,,Non-ruminant,Mixed feeder,,65,60-70,61.5,58-65,Even-toed,Ungulates of the World (website),Evergreen rainforests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Sulawesi Island, Indonesia",tropical,,,,,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Babyrousa_celebensis.html,
Babyrousa togeanensis,Togian babirusa,,,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,Wild,,Non-ruminant,Mixed feeder,,1100,100 (unverified),Unknown,,Even-toed,Ungulates of the World (website),Primary tropical forests,tropical rainforest,,,,,Asia,,,Indonesia,,,,,"Batudaka, Togean, Talatakoh, & Malenge Islands, Indonesia",tropical,,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Babyrousa_togeanensis.html,
